2,1,1,1,1,1150,1180,4020,5920,8470
4,1,1,2,2,900,436,17582,19482,21782
6,1,2,1,1,900,885,29009,30909,33209
8,1,1,2,3,1150,330,40982,42882,45432
10,1,1,1,1,900,807,53622,55522,57822
12,1,1,2,2,1150,454,65561,67461,70011
14,1,2,2,3,900,390,78440,80340,82640
16,1,2,2,2,1150,465,89884,91784,94334
18,1,1,2,3,1150,501,103481,105381,107931
20,1,2,1,1,900,825,115488,117388,119688
22,1,1,2,3,1150,417,128248,130148,132698
24,1,2,2,2,900,578,140990,142890,145190
26,1,2,1,1,1150,971,152673,154573,157123
28,1,2,2,2,900,740,166013,167913,170213
30,1,2,1,1,1150,904,177850,179750,182300
32,1,1,1,1,900,768,191207,193107,195407
34,1,2,1,1,1150,890,203044,204944,207494
36,1,2,2,3,900,533,215512,217412,219712
38,1,1,1,1,900,936,227896,229796,232096
40,1,1,1,1,1150,1821,239904,241804,244354
42,1,1,1,1,1150,1011,257041,258941,261491
44,1,1,2,2,900,450,270425,272325,274625
46,1,2,2,3,1150,361,282374,284274,286824
48,1,1,2,3,900,389,295039,296939,299239
50,1,2,2,2,900,362,306558,308458,310758
52,1,1,2,2,1150,369,317965,319865,322415
54,1,1,1,1,1150,1116,330682,332582,335132
56,1,2,2,3,900,613,344196,346096,348396
58,1,2,2,2,900,749,356257,358157,360457
60,1,1,2,2,1150,471,368128,370028,372578
62,1,1,1,1,900,934,380891,382791,385091
64,1,2,1,1,1150,801,392953,394853,397403
66,1,2,2,2,1150,404,406130,408030,410580
68,1,2,2,2,900,367,418991,420891,423191
70,1,2,1,1,1150,1186,430480,432380,434930
72,1,2,2,2,900,425,444040,445940,448240
74,1,2,2,3,900,467,455631,457531,459831
76,1,2,2,3,1150,484,467155,469055,471605
78,1,2,2,3,1150,461,479963,481863,484413
80,1,2,2,2,900,555,492778,494678,496978
82,1,1,2,3,900,541,510211,512111,514411
84,1,2,1,1,1150,1174,521894,523794,526344
86,1,1,2,2,900,444,535503,537403,539703
88,1,1,2,3,1150,636,547045,548945,551495
90,1,2,2,3,1150,535,560024,561924,564474
92,1,2,2,2,900,397,572827,574727,577027
94,1,1,2,3,1150,390,584331,586231,588781
96,1,2,2,3,900,417,597199,599099,601399
98,1,2,2,2,1150,357,608660,610560,613110
100,1,1,2,2,900,394,621446,623346,625646
102,1,1,1,1,1150,973,632911,634811,637361
104,1,2,2,2,900,507,646314,648214,650514
106,1,1,2,2,900,421,657897,659797,662097
108,1,1,2,3,1150,407,669388,671288,673838
110,1,1,1,1,1150,1070,682032,683932,686482
112,1,2,2,3,900,753,695522,697422,699722
114,1,2,2,3,1150,413,707367,709267,711817
116,1,1,1,1,900,860,720143,722043,724343
118,1,2,2,2,900,359,732138,734038,736338
120,1,2,2,2,1150,399,743636,745536,748086
122,1,2,1,1,1150,1494,763447,765347,767897
124,1,2,1,1,900,830,777399,779299,781599
126,1,1,2,3,900,421,789290,791190,793490
128,1,2,2,3,1150,380,800831,802731,805281
130,1,1,1,1,900,829,813545,815445,817745
132,1,1,2,3,1150,415,825437,827337,829887
134,1,1,1,1,1150,775,838495,840395,842945
136,1,2,1,1,900,1072,851622,853522,855822
138,1,1,2,2,1150,814,864011,865911,868461
140,1,1,2,3,900,556,877196,879096,881396
142,1,2,2,2,1150,470,888875,890775,893325
144,1,1,2,3,900,407,901805,903705,906005
146,1,2,1,1,1150,807,913348,915248,917798
148,1,1,2,2,900,639,926478,928378,930678
150,1,1,1,1,1150,961,938151,940051,942601
152,1,1,1,1,900,938,951502,953402,955702
154,1,1,2,3,900,456,963634,965534,967834
156,1,1,1,1,1150,837,975196,977096,979646
158,1,2,2,2,900,437,988362,990262,992562
160,1,2,1,1,1150,1191,999834,1001734,1004284
162,1,1,2,3,900,417,1018117,1020017,1022317
164,1,1,1,1,1150,882,1029627,1031527,1034077
166,1,1,2,2,900,399,1042870,1044770,1047070
168,1,2,1,1,1150,983,1054372,1056272,1058822
170,1,2,2,3,900,405,1067790,1069690,1071990
172,1,2,2,3,1150,430,1079275,1081175,1083725
174,1,2,2,2,900,398,1092056,1093956,1096256
176,1,1,2,2,1150,454,1103573,1105473,1108023
178,1,1,2,2,1150,494,1116401,1118301,1120851
180,1,2,1,1,900,907,1129244,1131144,1133444
182,1,2,2,2,900,363,1141289,1143189,1145489
184,1,1,2,3,1150,357,1152769,1154669,1157219
186,1,1,1,1,900,873,1165425,1167325,1169625
188,1,1,2,2,1150,410,1177524,1179424,1181974
190,1,2,2,3,900,419,1190276,1192176,1194476
192,1,1,2,3,1150,455,1201885,1203785,1206335
194,1,1,2,2,1150,496,1214711,1216611,1219161
196,1,2,1,1,900,1132,1227573,1229473,1231773
198,1,1,2,2,1150,448,1239846,1241746,1244296
200,1,2,1,1,900,894,1252787,1254687,1256987
202,1,1,2,2,1150,424,1268264,1270164,1272714
204,1,2,1,1,900,1030,1281053,1282953,1285253
206,1,1,1,1,900,1083,1293193,1295093,1297393
208,1,1,2,2,1150,370,1305349,1307249,1309799
210,1,2,1,1,1150,1077,1318128,1320028,1322578
212,1,1,2,3,900,436,1331673,1333573,1335873
214,1,1,2,3,1150,421,1343194,1345094,1347644
216,1,2,2,2,900,363,1355995,1357895,1360195
218,1,1,1,1,900,858,1367456,1369356,1371656
220,1,1,2,2,1150,485,1379496,1381396,1383946
222,0,2,1,1,1150,1656,1392292,1394192,1396742
224,1,1,2,2,900,545,1406416,1408316,1410616
226,1,2,2,3,900,915,1418014,1419914,1422214
228,1,1,2,3,1150,440,1430021,1431921,1434471
